name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license,repository_age_years,days_since_update
lime,marcotcr,JavaScript,12165,1847,12165,133,2016-03-15 22:18:10+00:00,2026-08-17 22:12:58+00:00,"BSD 2-Clause ""Simplified"" License",10.43,4
cleanlab,cleanlab,Python,11630,916,11630,121,2018-05-11 01:55:21+00:00,2026-08-21 06:41:07+00:00,Apache License 2.0,8.28,0
dive-into-machine-learning,dive-into-machine-learning,Not specified,11390,1866,11390,0,2015-02-22 23:48:16+00:00,2026-08-20 20:37:28+00:00,Creative Commons Attribution 4.0 International,11.49,1
MLAlgorithms,rushter,Python,11168,1768,11168,10,2016-10-05 06:46:45+00:00,2026-08-20 06:35:49+00:00,MIT License,9.88,1
turicreate,apple,C++,11160,1118,11160,522,2017-12-01 00:42:04+00:00,2026-08-18 01:19:28+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",8.72,3
amazon-sagemaker-examples,aws,Jupyter Notebook,10979,6961,10979,849,2017-10-23 05:55:22+00:00,2026-08-20 03:24:40+00:00,Apache License 2.0,8.83,1
A-Curated-List-of-ML-System-Design-Case-Studies,Engineer1999,Not specified,10951,1681,10951,7,2024-05-18 15:42:58+00:00,2026-08-21 16:55:06+00:00,No license specified,2.26,0
dolly,databrickslabs,Python,10804,1140,10804,5,2023-03-24 16:15:53+00:00,2026-08-20 05:59:23+00:00,Apache License 2.0,3.41,1
doccano,doccano,Python,10753,1823,10753,395,2018-05-09 06:10:05+00:00,2026-08-21 18:26:35+00:00,MIT License,8.28,0
mlcourse.ai,Yorko,Python,10692,5697,10692,3,2017-02-27 08:32:20+00:00,2026-08-21 15:24:19+00:00,Other,9.48,0
machine-learning-systems-design,chiphuyen,HTML,10538,1631,10538,11,2019-11-24 23:16:28+00:00,2026-08-21 18:33:39+00:00,No license specified,6.74,0
Machine-Learning,Jack-Cherish,Python,10371,5065,10371,7,2017-03-25 07:32:37+00:00,2026-08-19 13:54:16+00:00,No license specified,9.41,2
machine-learning-notes,roboticcam,Jupyter Notebook,10337,1825,10337,28,2018-02-15 15:42:33+00:00,2026-08-21 07:52:17+00:00,No license specified,8.51,0
3D-Machine-Learning,timzhang642,Not specified,10191,1797,10191,21,2017-08-12 15:20:54+00:00,2026-08-21 09:19:46+00:00,No license specified,9.02,0
tpot,EpistasisLab,Jupyter Notebook,10051,1562,10051,312,2015-11-03 21:08:40+00:00,2026-08-18 06:34:07+00:00,GNU Lesser General Public License v3.0,10.8,3
sktime,sktime,Python,9956,2300,9956,2407,2018-11-06 15:08:24+00:00,2026-08-21 18:39:17+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",7.79,0
Stock-Prediction-Models,huseinzol05,Jupyter Notebook,9482,3046,9482,47,2017-12-18 10:49:59+00:00,2026-08-21 11:16:48+00:00,Apache License 2.0,8.67,0
cog,replicate,Go,9459,696,9459,72,2021-02-26 23:43:09+00:00,2026-08-21 05:59:41+00:00,Apache License 2.0,5.48,0
golearn,sjwhitworth,Go,9438,1165,9438,89,2013-12-26 13:06:14+00:00,2026-08-21 02:09:20+00:00,MIT License,12.65,0
AIMLInterviews,alirezadir,Jupyter Notebook,9430,1660,9430,11,2021-01-31 03:52:09+00:00,2026-08-21 20:15:47+00:00,MIT License,5.55,0
machinelearning,dotnet,C#,9349,1950,9349,1008,2018-05-03 16:20:42+00:00,2026-08-21 20:08:36+00:00,MIT License,8.3,0
awesome-ml-for-cybersecurity,jivoi,Not specified,9309,1940,9309,33,2016-12-20 12:46:36+00:00,2026-08-21 18:02:23+00:00,Other,9.67,0
awesome-project-ideas,NirantK,Not specified,9279,1292,9279,7,2017-08-19 09:37:58+00:00,2026-08-21 16:43:18+00:00,MIT License,9.0,0
catboost,catboost,C++,9072,1319,9072,712,2017-07-18 05:29:04+00:00,2026-08-21 17:09:20+00:00,Apache License 2.0,9.09,0
machine_learning_examples,lazyprogrammer,Python,8911,6404,8911,33,2014-07-31 23:40:45+00:00,2026-08-20 15:52:32+00:00,No license specified,12.06,1
state-of-the-art-result-for-machine-learning-problems,RedditSota,Not specified,8894,1294,8894,14,2017-11-09 01:21:40+00:00,2026-08-21 05:56:46+00:00,Apache License 2.0,8.78,0
pattern,clips,Python,8860,1558,8860,179,2011-05-03 15:29:01+00:00,2026-08-18 06:33:05+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",15.3,3
financial-machine-learning,firmai,Python,8754,1410,8754,15,2019-03-21 21:00:35+00:00,2026-08-21 07:50:20+00:00,No license specified,7.42,0
vowpal_wabbit,VowpalWabbit,C++,8705,1925,8705,1,2009-07-31 19:36:58+00:00,2026-08-20 19:05:45+00:00,Other,17.06,1
MachineLearning_Python,lawlite19,Python,8580,2515,8580,10,2016-10-17 15:44:59+00:00,2026-08-20 01:33:10+00:00,MIT License,9.84,1
Machine-Learning-Collection,aladdinpersson,Python,8488,2785,8488,118,2020-03-26 07:02:40+00:00,2026-08-21 13:30:13+00:00,MIT License,6.4,0
approachingalmost,abhishekkrthakur,Not specified,8374,1122,8374,54,2020-07-04 07:13:20+00:00,2026-08-21 13:45:00+00:00,No license specified,6.13,0
introduction_to_ml_with_python,amueller,Jupyter Notebook,8152,4670,8152,28,2016-05-29 18:29:47+00:00,2026-08-21 10:59:46+00:00,No license specified,10.23,0
auto-sklearn,automl,Python,8126,1323,8126,207,2015-07-02 15:38:10+00:00,2026-08-17 01:46:07+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",11.14,4
machine-learning-cheat-sheet,soulmachine,TeX,8042,1332,8042,11,2013-05-09 07:43:59+00:00,2026-08-20 15:23:23+00:00,No license specified,13.28,1
cortex,cortexlabs,Go,8011,594,8011,132,2019-01-24 04:43:14+00:00,2026-08-20 21:08:25+00:00,Apache License 2.0,7.57,1
machine-learning-roadmap,mrdbourke,Not specified,7893,1168,7893,12,2020-07-09 07:07:47+00:00,2026-08-15 21:26:11+00:00,MIT License,6.12,6
machine-learning-yearning-cn,deeplearning-ai,CSS,7844,1500,7844,4,2018-06-19 19:26:39+00:00,2026-08-21 08:27:22+00:00,Other,8.17,0
Machine-Learning-Specialization-Coursera,greyhatguy007,Jupyter Notebook,7798,3728,7798,26,2022-06-16 15:31:02+00:00,2026-08-21 18:58:59+00:00,MIT License,4.18,0
Machine-learning-learning-notes,Vay-keen,Not specified,7761,1879,7761,28,2018-03-24 06:48:10+00:00,2026-08-21 04:15:39+00:00,No license specified,8.41,0
awesome-youtubers,JoseDeFreitas,Markdown,7734,496,7734,2,2020-08-25 14:18:15+00:00,2026-08-21 14:27:52+00:00,Creative Commons Zero v1.0 Universal,5.99,0
Learn_Machine_Learning_in_3_Months,llSourcell,Not specified,7603,2310,7603,19,2018-03-02 10:59:53+00:00,2026-08-21 16:08:33+00:00,No license specified,8.47,0
h2o-3,h2oai,Jupyter Notebook,7495,2025,7495,2881,2014-03-03 16:08:07+00:00,2026-08-21 06:04:07+00:00,Apache License 2.0,12.47,0
industry-machine-learning,firmai,Jupyter Notebook,7483,1249,7483,3,2019-05-03 05:08:15+00:00,2026-08-21 11:40:40+00:00,No license specified,7.3,0
